,start_time,end_time,speaker_label,text
0,0.954,0.9683166666666666,spk_0,Right.
1,1.04215,1.068,spk_0,"So, um,"
2,1.1645,1.2004833333333331,spk_0,so where's the powerpoint
3,1.2023166666666667,1.2221666666666666,spk_0,"presentation,"
4,1.277,1.284166666666667,spk_0,Sony
5,1.36065,1.3814833333333334,spk_0,Microsoft per point? Right.
6,1.4768333333333334,1.5044833333333334,spk_0,Right. OK.
7,1.5308166666666667,1.5384833333333332,spk_0,So.
8,1.6273166666666667,1.637,spk_0,Right.
9,1.69,1.7199833333333334,spk_0,"Okay. So we've got, uh,"
10,1.8088166666666667,1.8469833333333332,spk_0,so we've got new project requirements.
11,1.8544833333333333,1.8655,spk_0,Um
12,1.9346666666666668,1.9594833333333332,spk_0,So basically we've got three things.
13,1.959666666666667,2.0323333333333333,spk_0,"We've got 40 minutes in which to uh for this meeting to uh, to discuss"
14,2.044666666666666,2.0713166666666667,spk_0,the various options.
15,2.078666666666667,2.088833333333333,spk_0,"Um,"
16,2.11765,2.1454833333333334,spk_0,three presentations.
17,2.180833333333333,2.2288166666666664,spk_1,"We have a, I guess we have a presentation each cause I've got one."
18,2.2456666666666667,2.2935,spk_0,"I see. Right. That's nice to know one from each of you,"
19,2.297816666666667,2.3074833333333333,spk_0,"um,"
20,2.31165,2.336316666666667,spk_0,new project requirements.
21,2.3383333333333334,2.413483333333333,spk_0,"Um So do we want to do the presentation first or do we want to, um,"
22,2.45665,2.4908166666666665,spk_0,wi I got um a
23,2.499,2.54465,spk_0,"few or, or three things basically, um"
24,2.5629833333333334,2.58065,spk_0,relating to
25,2.5826666666666664,2.6438333333333333,spk_0,"the remote being only for TV, we discussed that last time"
26,2.6536666666666666,2.70465,spk_0,"and in actual fact, that was pretty, pretty well"
27,2.708333333333333,2.7535,spk_0,"what we ca me up with anyway. So in fact, it actually f"
28,2.764666666666667,2.7896666666666667,spk_0,we may be forestalled
29,2.7976666666666667,2.8156666666666665,spk_0,in a sense.
30,2.8198333333333334,2.828666666666667,spk_0,Um
31,2.831983333333333,2.8706666666666667,spk_0,We've got uh teletext outdated.
32,2.873,2.88615,spk_0,Um
33,2.891166666666667,2.9286666666666665,spk_0,Did you get any information on that?
34,2.9605,2.9709833333333333,spk_0,Right.
35,2.973316666666667,3.02565,spk_0,And the corporate image was the uh final thing.
36,3.0345,3.0588166666666665,spk_0,So I
37,3.0853166666666665,3.118983333333333,spk_0,uh I got that in email form.
38,3.121166666666667,3.130333333333333,spk_0,Um
39,3.1598166666666665,3.183333333333333,spk_0,Right. OK. So
40,3.20515,3.248,spk_0,"I guess if we go ahead with the, uh,"
41,3.26215,3.287983333333333,spk_0,with the three presentations.
42,3.294483333333333,3.3105,spk_0,So
43,3.313833333333333,3.3785,spk_0,"we'll start with yourself on the basis that, uh,"
44,3.4043166666666664,3.4338166666666665,spk_1,"I'll just, um, I'll grab the,"
45,3.4738166666666666,3.4908166666666665,spk_0,sorry. Yep.
46,3.741816666666667,3.74215,spk_1,Yeah.
47,3.835166666666667,3.84365,spk_0,"Oh,"
48,3.921666666666667,3.93,spk_0,what the
49,3.9318333333333335,3.93215,spk_0,"f,"
