,start_time,end_time,speaker_label,text
0,0.0535,0.0791666666666666,spk_0,"All right. Hi, everybody."
1,0.0794833333333333,0.1414833333333333,spk_0,Welcome to the Glab 16.7 monthly release kickoff for November.
2,0.1453333333333333,0.1745,spk_0,I'm Mike Float and I'm gonna be your host today.
3,0.1789833333333333,0.2146666666666666,spk_0,Uh This is my first time hosting a release kickoff at
4,0.2148333333333333,0.25065,spk_0,Git Lab and I couldn't be more excited to be here.
5,0.2536666666666666,0.3313166666666667,spk_0,Uh And uh I'm really excited to introduce the lineup of speakers that we have today.
6,0.3359833333333333,0.3838333333333333,spk_0,"So you're gonna hear from Vi Chetta, who's gonna talk about what's going on in Dev."
7,0.3859833333333333,0.4265,spk_0,"Uh Next, you're gonna hear from Sam White, who's gonna talk,"
8,0.4266666666666667,0.4598333333333333,spk_0,talk about some of the improvements coming in sec.
9,0.46,0.5078166666666667,spk_0,Uh Tim Rizzi is gonna be speaking about what's going on in C I CD.
10,0.5131666666666667,0.5456666666666667,spk_0,Uh As usual Taylor mccaslin will give us some
11,0.5458333333333333,0.57815,spk_0,updates on what's going on in data science.
12,0.5783333333333334,0.5784833333333333,spk_0,Uh
13,0.5823166666666667,0.6234833333333333,spk_0,"Josh Lambert is gonna for the first time ever,"
14,0.6236499999999999,0.6576500000000001,spk_0,give an update on the core platforms group.
15,0.6625,0.6968333333333334,spk_0,"Um Sorry, the stage uh"
16,0.6989833333333333,0.7515000000000001,spk_0,so uh be really exciting to hear from uh from Josh there.
17,0.7548333333333334,0.7905,spk_0,Um And then I will wrap things up.
18,0.7929999999999999,0.8385,spk_0,"Uh So as a reminder, we plan ambitiously here at Git Labs,"
19,0.83865,0.8741666666666668,spk_0,"so the contents and timelines are subject to change,"
20,0.8743166666666667,0.9148166666666668,spk_0,but we do our best uh to not let that happen.
21,0.9206666666666669,0.9801666666666669,spk_0,"Uh So without further ado, I'm gonna hand it over to vi to talk about Dev, take it away."
22,0.9844833333333334,0.9846666666666668,spk_0,I
23,1.0053166666666666,1.023,spk_1,"thank you, Mike."
24,1.0403166666666666,1.0735,spk_1,I'm gonna start sharing my screen.
25,1.227,1.2358333333333331,spk_1,"Ok,"
26,1.24915,1.27715,spk_1,"so, hi everyone. My name is"
27,1.2788333333333333,1.2803166666666668,spk_1,Vita.
28,1.2873166666666669,1.3439833333333333,spk_1,I am excited to present the highlights for the deaf section today.
29,1.3474833333333334,1.3949833333333332,spk_1,Um There are two themes that I'll be covering here.
30,1.4044833333333333,1.4539833333333334,spk_1,So the first theme that I'm going to talk about is the world-class Deaf
31,1.4615,1.4746666666666668,spk_1,iops experience.
32,1.48865,1.5463166666666668,spk_1,We are continuing to make improvements in the web
33,1.5483333333333331,1.5579999999999998,spk_1,ID
34,1.56715,1.6303166666666669,spk_1,um category to bring it to complete maturity level.
35,1.63615,1.6685,spk_1,"Um Today, in web ID,"
36,1.6716666666666666,1.7411666666666663,spk_1,users are not allowed to persist the user settings and browser extensions.
37,1.7413333333333334,1.7683166666666668,spk_1,Um This feature is not available
38,1.7786666666666666,1.8286666666666669,spk_1,as a result. The pain point that they experience is that
39,1.833,1.8876666666666664,spk_1,"if you have customized your user settings, like font size or"
40,1.8923333333333328,1.9189833333333333,spk_1,"wrap or keyboard language,"
41,1.9213166666666668,1.9585,spk_1,you will lose them once the session expires.
42,1.9625,2.0469833333333334,spk_1,Um If there are any browser extensions across sessions that are also not preserved.
43,2.0471666666666666,2.0936666666666666,spk_1,"So with this release, we are enabling users to"
44,2.108,2.1758333333333333,spk_1,versus the user settings in the web ID across browsers and sessions.
45,2.1826666666666665,2.26265,spk_1,Um So that's uh a feature that is aligned to the lower class de
46,2.2689833333333334,2.28115,spk_1,Cops experience.
47,2.296316666666667,2.375983333333333,spk_1,"Next up, I want to discuss um get lab pages, multiple version support."
48,2.3901666666666666,2.4305,spk_1,So this feature is also aligned to the world class. They take
49,2.4351666666666665,2.448,spk_1,out experience
50,2.45465,2.4625,spk_1,today.
51,2.464983333333333,2.5223166666666668,spk_1,GLAB pages supports only a single version of a paid site
52,2.5254833333333333,2.5396666666666667,spk_1,"um As a result,"
